Name,Betweenness Centrality (BC),Degree,Ranking by BC,Label
starPep_10590,0,0,2559,Peptide
starPep_10566,0,0,2558,Peptide
starPep_10560,0,0,2557,Peptide
starPep_10514,0,0,2556,Peptide
starPep_10487,0,0,2555,Peptide
starPep_10486,0,0,2554,Peptide
starPep_10420,0,0,2553,Peptide
starPep_10419,0,0,2552,Peptide
starPep_10418,0,0,2551,Peptide
starPep_10414,0,0,2550,Peptide
starPep_10407,0,0,2549,Peptide
starPep_10394,0,0,2548,Peptide
starPep_10364,0,0,2547,Peptide
starPep_10335,0,0,2546,Peptide
starPep_10306,0,0,2545,Peptide
starPep_10285,0,0,2544,Peptide
starPep_10264,0,0,2543,Peptide
starPep_10258,0,0,2542,Peptide
starPep_10252,0,0,2541,Peptide
starPep_10196,0,0,2540,Peptide
starPep_10195,0,0,2539,Peptide
starPep_10194,0,0,2538,Peptide
starPep_10193,0,0,2537,Peptide
starPep_10192,0,0,2536,Peptide
starPep_10191,0,0,2535,Peptide
starPep_10190,0,0,2534,Peptide
starPep_10189,0,0,2533,Peptide
starPep_10188,0,0,2532,Peptide
starPep_10187,0,0,2531,Peptide
starPep_10186,0,0,2530,Peptide
starPep_10185,0,0,2529,Peptide
starPep_10154,0,0,2528,Peptide
starPep_10153,0,0,2527,Peptide
starPep_10113,0,0,2526,Peptide
starPep_10016,0,0,2525,Peptide
starPep_10010,0,0,2524,Peptide
starPep_10001,0,0,2523,Peptide
starPep_09998,0,0,2522,Peptide
Synthetic construct,1650949.65,1060,1,Origin
starPep_09979,0,1,2520,Peptide
starPep_09959,0,0,2519,Peptide
starPep_09933,0,0,2518,Peptide
starPep_09930,0,0,2517,Peptide
starPep_09904,0,0,2516,Peptide
starPep_09900,0,0,2515,Peptide
starPep_09870,0,0,2514,Peptide
starPep_09860,0,0,2513,Peptide
starPep_09854,0,0,2512,Peptide
starPep_09825,0,0,2511,Peptide
starPep_09805,0,0,2510,Peptide
starPep_09804,0,1,2509,Peptide
starPep_09803,0,0,2508,Peptide
starPep_09802,0,0,2507,Peptide
starPep_09801,0,0,2506,Peptide
starPep_09800,0,1,2505,Peptide
starPep_09799,0,0,2504,Peptide
starPep_09761,0,0,2503,Peptide
starPep_09754,0,0,2502,Peptide
starPep_09753,0,0,2501,Peptide
starPep_09752,0,0,2500,Peptide
starPep_09741,0,0,2499,Peptide
starPep_09740,0,0,2498,Peptide
starPep_09738,0,0,2497,Peptide
starPep_09640,0,0,2496,Peptide
starPep_09633,0,0,2495,Peptide
starPep_09632,0,0,2494,Peptide
starPep_09615,0,0,2493,Peptide
starPep_09605,0,0,2492,Peptide
starPep_09604,0,0,2491,Peptide
starPep_09602,0,0,2490,Peptide
starPep_09600,0,0,2489,Peptide
starPep_09599,0,0,2488,Peptide
starPep_09598,0,0,2487,Peptide
starPep_09597,0,0,2486,Peptide
starPep_09595,0,0,2485,Peptide
starPep_09594,0,0,2484,Peptide
starPep_09593,0,0,2483,Peptide
starPep_09563,0,0,2482,Peptide
starPep_09561,0,0,2481,Peptide
starPep_09559,0,0,2480,Peptide
starPep_09558,0,0,2479,Peptide
starPep_09542,0,0,2478,Peptide
starPep_09539,0,1,2477,Peptide
starPep_09532,0,0,2476,Peptide
starPep_09482,0,0,2475,Peptide
starPep_09481,0,1,2474,Peptide
starPep_09431,0,0,2473,Peptide
starPep_09317,0,0,2472,Peptide
starPep_09316,0,0,2471,Peptide
starPep_09264,0,0,2470,Peptide
starPep_09263,0,0,2469,Peptide
starPep_09252,0,0,2468,Peptide
starPep_09251,0,0,2467,Peptide
starPep_09239,0,0,2466,Peptide
starPep_09225,0,0,2465,Peptide
starPep_09207,0,0,2464,Peptide
starPep_09100,0,0,2463,Peptide
Pelophylax esculentus,58926.65287,30,11,Origin
starPep_09094,0,1,2461,Peptide
Homo sapiens,42845.59885,27,19,Origin
starPep_09011,0,1,2459,Peptide
starPep_08971,0,0,2458,Peptide
starPep_08969,0,0,2457,Peptide
starPep_08913,0,0,2456,Peptide
starPep_08875,0,0,2455,Peptide
starPep_08874,0,0,2454,Peptide
starPep_08873,0,0,2453,Peptide
starPep_08748,0,0,2452,Peptide
starPep_08733,0,0,2451,Peptide
starPep_08715,0,0,2450,Peptide
starPep_08714,0,0,2449,Peptide
starPep_08662,0,0,2448,Peptide
starPep_08655,0,0,2447,Peptide
starPep_08654,0,0,2446,Peptide
starPep_08653,0,0,2445,Peptide
starPep_08652,0,0,2444,Peptide
starPep_08547,0,0,2443,Peptide
starPep_08543,0,0,2442,Peptide
starPep_08449,0,0,2441,Peptide
starPep_08417,0,0,2440,Peptide
starPep_08416,0,0,2439,Peptide
starPep_08415,0,0,2438,Peptide
starPep_08414,0,0,2437,Peptide
starPep_08413,0,0,2436,Peptide
starPep_08412,0,0,2435,Peptide
starPep_08411,0,0,2434,Peptide
starPep_08375,0,0,2433,Peptide
starPep_08360,0,0,2432,Peptide
starPep_08298,0,1,2431,Peptide
Odorrana grahami,80954.70833,22,7,Origin
starPep_08248,0,1,2429,Peptide
Viola odorata,33194.28301,20,27,Origin
starPep_08214,0,1,2427,Peptide
Bos taurus,45569.65534,18,16,Origin
starPep_08213,0,1,2425,Peptide
starPep_08212,0,1,2424,Peptide
starPep_08210,0,0,2423,Peptide
starPep_08194,0,0,2422,Peptide
starPep_08193,0,0,2421,Peptide
starPep_08164,0,0,2420,Peptide
starPep_08087,0,1,2419,Peptide
starPep_08086,0,1,2418,Peptide
starPep_08085,0,1,2417,Peptide
starPep_08084,0,1,2416,Peptide
starPep_08083,0,1,2415,Peptide
starPep_08081,0,1,2414,Peptide
starPep_08079,0,1,2413,Peptide
starPep_08041,0,1,2412,Peptide
starPep_08040,0,1,2411,Peptide
starPep_08022,0,1,2410,Peptide
starPep_08021,0,1,2409,Peptide
starPep_08016,0,1,2408,Peptide
starPep_08015,0,0,2407,Peptide
starPep_08014,0,1,2406,Peptide
starPep_08013,0,1,2405,Peptide
starPep_08009,0,1,2404,Peptide
starPep_08007,0,1,2403,Peptide
starPep_08006,0,1,2402,Peptide
starPep_08004,0,1,2401,Peptide
starPep_07998,0,1,2400,Peptide
starPep_07995,0,1,2399,Peptide
starPep_07962,0,1,2398,Peptide
starPep_07960,0,1,2397,Peptide
starPep_07948,0,1,2396,Peptide
starPep_07945,0,1,2395,Peptide
starPep_07939,0,1,2394,Peptide
starPep_07919,0,1,2393,Peptide
starPep_07918,0,1,2392,Peptide
starPep_07916,0,1,2391,Peptide
starPep_07909,0,1,2390,Peptide
starPep_07906,0,1,2389,Peptide
starPep_07905,0,1,2388,Peptide
starPep_07904,0,1,2387,Peptide
starPep_07903,0,1,2386,Peptide
starPep_07880,0,1,2385,Peptide
starPep_07878,0,1,2384,Peptide
starPep_07875,0,1,2383,Peptide
starPep_07874,0,1,2382,Peptide
starPep_07873,0,1,2381,Peptide
starPep_07868,0,1,2380,Peptide
starPep_07866,0,1,2379,Peptide
starPep_07863,0,1,2378,Peptide
starPep_07858,0,1,2377,Peptide
