"Name","Label","Ranking by BC","Betweenness Centrality (BC)","Degree"
"starPep_06035","Peptide","1286","1.8267432539405553","7"
"starPep_06036","Peptide","1287","1.8267432539405553","7"
"starPep_06039","Peptide","1016","2.9810351989980006","7"
"starPep_06040","Peptide","1288","1.8267432539405553","7"
"starPep_06042","Peptide","1289","1.8267432539405553","7"
"starPep_06044","Peptide","1399","1.5139620525036566","6"
"starPep_06045","Peptide","1017","2.9810351989980006","7"
"starPep_06046","Peptide","1582","1.1011601845203762","5"
"starPep_06047","Peptide","1290","1.8267432539405553","7"
"starPep_06048","Peptide","1291","1.8267432539405553","7"
"starPep_06050","Peptide","1126","2.2452392910665107","6"
"starPep_06051","Peptide","1292","1.8267432539405553","7"
"starPep_06052","Peptide","1293","1.8267432539405553","7"
"starPep_06053","Peptide","1294","1.8267432539405553","7"
"starPep_06054","Peptide","1295","1.8267432539405553","7"
"starPep_06064","Peptide","1296","1.8267432539405553","7"
"starPep_06066","Peptide","1297","1.8267432539405553","7"
"starPep_06096","Peptide","1018","2.9810351989980006","7"
"starPep_06097","Peptide","1019","2.9810351989980006","7"
"starPep_06100","Peptide","1995","0.06235606342574735","2"
"starPep_06101","Peptide","1400","1.5139620525036566","6"
"starPep_06102","Peptide","1020","2.9810351989980006","7"
"starPep_06115","Peptide","1560","1.1863901252102689","6"
"starPep_06127","Peptide","710","8.271866742038695","8"
"starPep_06134","Peptide","1401","1.5139620525036566","6"
"starPep_06135","Peptide","1141","2.1434098341567087","6"
"starPep_06136","Peptide","1614","1.006561058181709","5"
"starPep_06139","Peptide","1085","2.6013673189454445","7"
"starPep_06140","Peptide","1021","2.9810351989980006","7"
"starPep_06141","Peptide","1022","2.9810351989980006","7"
"starPep_06145","Peptide","1402","1.5139620525036566","6"
"starPep_06146","Peptide","1807","0.1881710521758538","3"
"starPep_06175","Peptide","1518","1.413941385957278","6"
"starPep_06189","Peptide","1298","1.8267432539405553","7"
"starPep_06190","Peptide","1519","1.413941385957278","6"
"starPep_06191","Peptide","730","7.276911024594249","7"
"starPep_06194","Peptide","1086","2.6013673189454445","7"
"starPep_06203","Peptide","1403","1.5139620525036566","6"
"starPep_06204","Peptide","334","34.60074963259799","7"
"starPep_06207","Peptide","520","15.838181959032797","8"
"starPep_06208","Peptide","521","15.838181959032797","8"
"starPep_06209","Peptide","522","15.838181959032797","8"
"starPep_06213","Peptide","1324","1.7999623892852419","5"
"starPep_06217","Peptide","1404","1.5139620525036566","6"
"starPep_06225","Peptide","1583","1.1011601845203762","5"
"starPep_06226","Peptide","1584","1.1011601845203762","5"
"starPep_06227","Peptide","1585","1.1011601845203762","5"
"starPep_06228","Peptide","1586","1.1011601845203762","5"
"starPep_06229","Peptide","1587","1.1011601845203762","5"
"starPep_06230","Peptide","1588","1.1011601845203762","5"
"starPep_06231","Peptide","1589","1.1011601845203762","5"
"starPep_06232","Peptide","1590","1.1011601845203762","5"
"starPep_06233","Peptide","1591","1.1011601845203762","5"
"starPep_06234","Peptide","1299","1.8267432539405553","7"
"starPep_06235","Peptide","1300","1.8267432539405553","7"
"starPep_06236","Peptide","1301","1.8267432539405553","7"
"starPep_06237","Peptide","1592","1.1011601845203762","5"
"starPep_06239","Peptide","1405","1.5139620525036566","6"
"starPep_06240","Peptide","1406","1.5139620525036566","6"
"starPep_06242","Peptide","1618","0.9630236410701664","5"
"starPep_06243","Peptide","1619","0.9630236410701664","5"
"starPep_06244","Peptide","1407","1.5139620525036566","6"
"starPep_06245","Peptide","1408","1.5139620525036566","6"
"starPep_06246","Peptide","1409","1.5139620525036566","6"
"starPep_06247","Peptide","1410","1.5139620525036566","6"
"starPep_06248","Peptide","731","7.276911024594249","7"
"starPep_06250","Peptide","1411","1.5139620525036566","6"
"starPep_06251","Peptide","1561","1.1863901252102689","6"
"starPep_06254","Peptide","908","3.4265779441737485","8"
"starPep_06256","Peptide","1412","1.5139620525036566","6"
"starPep_06266","Peptide","528","14.252405331432042","5"
"starPep_06273","Peptide","1413","1.5139620525036566","6"
"starPep_06276","Peptide","1520","1.413941385957278","6"
"starPep_06281","Peptide","740","7.226123785625512","7"
"starPep_06282","Peptide","1521","1.413941385957278","6"
"starPep_06283","Peptide","1808","0.1881710521758538","3"
"starPep_06284","Peptide","1809","0.1881710521758538","3"
"starPep_06285","Peptide","1695","0.7189527157930896","4"
"starPep_06286","Peptide","1302","1.8267432539405553","7"
"starPep_06288","Peptide","1023","2.9810351989980006","7"
