"Name","Label","Betweenness Centrality (BC)","Ranking by BC","Degree"
"starPep_06690","Peptide","294.2345824185695","1143","2"
"starPep_06716","Peptide","1530.9714875955165","676","3"
"starPep_06722","Peptide","468.5505993864498","970","5"
"starPep_06733","Peptide","120.31672137481226","1564","4"
"starPep_06761","Peptide","0.0","2368","0"
"starPep_06762","Peptide","0.0","2369","0"
"starPep_06767","Peptide","0.0","2370","1"
"starPep_06789","Peptide","1530.9714875955165","677","3"
"starPep_06794","Peptide","2496.360903648368","581","5"
"starPep_06816","Peptide","547.3643521804066","922","5"
"starPep_06817","Peptide","0.0","2371","0"
"starPep_06821","Peptide","0.0","2372","0"
"starPep_06822","Peptide","0.0","2373","0"
"starPep_06823","Peptide","0.0","2374","0"
"starPep_06824","Peptide","7.259945922842637","1989","3"
"starPep_06827","Peptide","0.0","2375","0"
"starPep_06828","Peptide","7.259945922842637","1990","3"
"starPep_06830","Peptide","0.6999285665583403","2054","2"
"starPep_06831","Peptide","0.6999285665583403","2055","2"
"starPep_06832","Peptide","547.3643521804066","923","5"
"starPep_06837","Peptide","0.6999285665583403","2056","2"
"starPep_06844","Peptide","120.31672137481226","1565","4"
"starPep_06861","Peptide","0.0","2376","1"
"starPep_06862","Peptide","0.0","2377","0"
"starPep_06944","Peptide","0.0","2378","0"
"starPep_06945","Peptide","0.0","2379","0"
"starPep_06954","Peptide","0.0","2380","0"
"starPep_06974","Peptide","0.0","2381","0"
"starPep_07050","Peptide","2496.360903648368","582","5"
"starPep_07051","Peptide","2496.360903648368","583","5"
"starPep_07121","Peptide","173.54758996334675","1364","7"
"starPep_07151","Peptide","252.80980513889025","1214","4"
"starPep_07163","Peptide","0.0","2382","1"
"starPep_07183","Peptide","0.0","2383","1"
"starPep_07184","Peptide","0.0","2384","1"
"starPep_07187","Peptide","180.64967374893345","1314","3"
"starPep_07188","Peptide","180.64967374893345","1315","3"
"starPep_07189","Peptide","180.64967374893345","1316","3"
"starPep_07190","Peptide","180.64967374893345","1317","3"
"starPep_07191","Peptide","180.64967374893345","1318","3"
"starPep_07192","Peptide","252.80980513889025","1215","4"
"starPep_07193","Peptide","180.64967374893345","1319","3"
"starPep_07194","Peptide","141.3087371351543","1512","3"
"starPep_07208","Peptide","0.0","2385","1"
"starPep_07215","Peptide","233.29110003545475","1248","5"
"starPep_07276","Peptide","1536.2112086189488","674","9"
"starPep_07290","Peptide","0.0","2386","1"
"starPep_07308","Peptide","106.37002400083355","1644","4"
"starPep_07311","Peptide","106.37002400083355","1645","4"
"starPep_07316","Peptide","144.64035169611518","1478","3"
"starPep_07321","Peptide","800.0078990827242","813","5"
"starPep_07398","Peptide","984.1619248535117","773","6"
"starPep_07399","Peptide","800.0078990827242","814","5"
"starPep_07400","Peptide","800.0078990827242","815","5"
"starPep_07401","Peptide","252.80980513889025","1216","4"
"starPep_07408","Peptide","0.0","2387","1"
"starPep_07409","Peptide","0.0","2388","1"
"starPep_07416","Peptide","294.2345824185695","1144","2"
"starPep_07417","Peptide","800.0078990827242","816","5"
"starPep_07418","Peptide","425.52082816585806","1011","3"
"starPep_07419","Peptide","294.2345824185695","1145","2"
"starPep_07420","Peptide","254.94798985015237","1204","3"
"starPep_07421","Peptide","254.94798985015237","1205","3"
"starPep_07422","Peptide","800.0078990827242","817","5"
"starPep_07423","Peptide","254.94798985015237","1206","3"
"starPep_07425","Peptide","135.12364436906475","1531","5"
"starPep_07426","Peptide","135.12364436906475","1532","5"
"starPep_07427","Peptide","135.12364436906475","1533","5"
"starPep_07429","Peptide","3060.3337701723553","422","3"
"Goat erythrocytes","Target","0.0","2389","1"
"starPep_07469","Peptide","1460.299730983591","692","8"
"starPep_07494","Peptide","573.4021895458584","910","6"
"starPep_07502","Peptide","62.28394960361852","1814","2"
"starPep_07504","Peptide","130.54324822150653","1543","5"
"starPep_07518","Peptide","294.06567849816264","1146","10"
"starPep_07519","Peptide","294.06567849816264","1147","10"
"starPep_07520","Peptide","294.06567849816264","1148","10"
"starPep_07521","Peptide","294.06567849816264","1149","10"
"starPep_07544","Peptide","168.97493213880713","1410","7"
"starPep_07557","Peptide","1447.6276796505235","693","6"
"starPep_07558","Peptide","1447.6276796505235","694","6"
"starPep_07559","Peptide","1447.6276796505235","695","6"
"starPep_07603","Peptide","62.28394960361852","1815","2"
"starPep_07604","Peptide","12062.423140794295","134","12"
"Eikenella corrodens","Target","2600.999999999998","568","2"
"Eikenella","Target","0.0","2390","1"
"starPep_07614","Peptide","99.7226218471936","1725","4"
"starPep_07628","Peptide","104.80863900333773","1682","4"
"starPep_07629","Peptide","104.80863900333773","1683","4"
"starPep_07630","Peptide","104.80863900333773","1684","4"
"starPep_07631","Peptide","119.68719709598277","1572","5"
"starPep_07669","Peptide","240.6801976880317","1222","7"
"starPep_07670","Peptide","183.74438805867285","1304","8"
"starPep_07673","Peptide","68.42349385371435","1805","4"
"starPep_07675","Peptide","32.65067218912003","1877","2"
"starPep_07681","Peptide","319.7763157880168","1099","5"
"starPep_07682","Peptide","0.0","2391","1"
"starPep_07690","Peptide","46.3794592273025","1852","3"
"starPep_07700","Peptide","245.24286087313658","1220","8"
"starPep_07735","Peptide","0.0","2392","1"
"starPep_07736","Peptide","0.0","2393","1"
"starPep_07737","Peptide","0.0","2394","1"
"starPep_07743","Peptide","399.43591937682595","1033","6"
"starPep_07744","Peptide","319.7763157880168","1100","5"
"starPep_07749","Peptide","168.97493213880713","1411","7"
"starPep_07753","Peptide","68.42349385371435","1806","4"
"starPep_07784","Peptide","395.92002344831775","1041","5"
"starPep_07785","Peptide","171.26235862025476","1369","5"
"starPep_07821","Peptide","0.0","2395","0"
"starPep_07822","Peptide","254.94798985015237","1207","3"
"starPep_07823","Peptide","0.0","2396","1"
"starPep_07824","Peptide","0.0","2397","1"
"starPep_07825","Peptide","0.0","2398","1"
"starPep_07826","Peptide","0.0","2399","1"
"starPep_07827","Peptide","0.0","2400","1"
"starPep_07832","Peptide","0.0","2401","1"
"starPep_07843","Peptide","2346.1283014078554","605","7"
"starPep_07846","Peptide","310.6909551669547","1111","10"
"starPep_07848","Peptide","168.97493213880713","1412","7"
"starPep_07850","Peptide","265.3782697160223","1194","9"
"starPep_07851","Peptide","178.39103815667067","1323","7"
"starPep_07852","Peptide","178.39103815667067","1324","7"
"starPep_07853","Peptide","310.6909551669547","1112","10"
"starPep_07854","Peptide","2330.7740928485673","608","20"
"starPep_07855","Peptide","178.39103815667067","1325","7"
"starPep_07856","Peptide","178.39103815667067","1326","7"
"starPep_07857","Peptide","2330.7740928485673","609","20"
"starPep_07858","Peptide","178.39103815667067","1327","7"
